Date,yield_2y10y,yield_3m10y,hy_spread,hy_spread_vel,vix_level,vix_change_30d,aaii_bull_bear,trends_fear,claims_ma4_chg,cfnai_ma3,lei_mom,sector_rotation,crash_label
1998-06-30,-0.05,0.34,3.79,0.6299999999999999,21.662727269259367,3.7785162927766347,2.4918434108634813,18.25,4.160246533127898,0.026666666666666672,-15.151515151515149,-16.02659774072904,1
1998-07-31,0.01,0.4,3.79,0.6299999999999999,19.929999871687457,-7.998657676084708,8.472828431699597,18.25,-2.9861616897305154,-0.20999999999999996,-0.5952380952380931,-16.02659774072904,0
1998-08-31,0.14,0.09,3.79,0.6299999999999999,31.58809498378209,58.495209167844074,9.467117957700792,18.25,-1.3567438148443745,0.050000000000000044,1.1976047904191711,-16.02659774072904,0
1998-09-30,0.14,0.07,3.79,0.6299999999999999,38.204762231735955,20.94671189051125,11.879559151002184,18.25,-1.2987012987012991,0.19333333333333336,15.384615384615397,-16.02659774072904,0
1998-10-31,0.52,0.31,3.79,0.6299999999999999,36.608181953430176,-4.179008545116747,-3.968946949455912,18.25,0.48192771084336616,0.44333333333333336,-13.33333333333333,-16.02659774072904,0
1998-11-30,0.2,0.17,3.79,0.6299999999999999,26.223000144958498,-28.368471894296267,11.567423475304018,18.25,0.15847860538826808,0.10666666666666667,2.9585798816567976,-16.02659774072904,0
1998-12-31,0.11,0.17,3.79,0.6299999999999999,25.479090777310457,-2.8368583439567274,-3.510384152805287,18.25,2.100161550888524,0.19333333333333336,8.620689655172399,-16.02659774072904,0
1999-01-31,0.08,0.18,3.79,0.6299999999999999,28.03526316191021,10.032431717995461,10.54948270624731,18.25,-1.9607843137254943,0.13666666666666666,-12.169312169312175,-16.02659774072904,0
1999-02-28,0.16,0.63,3.79,0.6299999999999999,28.82263153477719,2.8084928909700047,6.155632174867945,18.25,-0.33057851239669533,0.3,12.650602409638555,-16.02659774072904,0
1999-03-31,0.26,0.76,3.79,0.6299999999999999,25.309565419736117,-12.188568246456722,11.053491645079523,18.25,-0.24711696869851307,0.19000000000000003,-0.5347593582887722,-16.02659774072904,0
1999-04-30,0.28,0.81,3.79,0.6299999999999999,23.478571483067103,-7.23439500561801,-14.129695972529971,18.25,-0.5640612409347323,0.15333333333333335,-3.2258064516129115,-4.666031049647201,0
1999-05-31,0.22,0.98,3.79,0.6299999999999999,26.204500198364258,11.61028351858251,3.158849232484606,18.25,0.5809128630705374,0.16,-6.666666666666677,-8.079303316999765,0
1999-06-30,0.28,1.03,3.79,0.6299999999999999,23.626363667574797,-9.838525868737591,-13.4447766755842,18.25,-1.0101010101010055,0.16,-0.5952380952380931,-5.665705550651845,0
1999-07-31,0.29,1.17,3.79,0.6299999999999999,21.049047470092773,-10.90864524793197,5.166681182345158,18.25,1.092436974789912,0.22,11.377245508982048,-2.6789057673972216,0
1999-08-31,0.25,1.0,3.79,0.6299999999999999,24.323636228388008,15.556945096674246,-19.329386247260643,18.25,-0.8525149190110826,0.14666666666666667,-6.451612903225811,-5.077704729975563,0
1999-09-30,0.27,1.02,3.79,0.6299999999999999,24.541428611392067,0.8953940149371009,33.575726523395545,18.25,1.4010507880910739,0.11,-6.896551724137923,-4.078091601329414,0
1999-10-31,0.23,0.9,3.79,0.6299999999999999,24.021428516932897,-2.1188664388420597,23.68056270002913,18.25,-2.0565552699228773,0.3,4.320987654320985,-4.8790187495528325,0
1999-11-30,0.17,0.88,3.79,0.6299999999999999,21.81809525262742,-9.172365676555538,-6.899396812540445,18.25,0.2669039145907437,0.3066666666666667,15.976331360946737,-10.977395870491947,0
1999-12-31,0.21,1.12,3.79,0.6299999999999999,22.15909090909091,1.5629029597458821,9.822971868705563,18.25,-1.763668430335097,0.57,-3.0612244897959218,-26.82217603442163,0
2000-01-31,0.07,0.92,3.79,0.6299999999999999,23.201999855041503,4.706460884289854,-16.232592568587435,18.25,-0.08643042350907626,0.3733333333333333,-15.263157894736834,-16.22495415614513,0
2000-02-29,-0.11,0.64,3.79,0.6299999999999999,23.595500183105468,1.695975909501013,-1.997542353267768,18.25,-0.4237288135593209,0.17666666666666667,-8.074534161490687,-25.57555031634343,0
2000-03-31,-0.47,0.15,3.79,0.6299999999999999,22.718260806539785,-3.71782488083805,18.46912416442798,18.25,-0.722673893405601,0.12333333333333334,27.027027027027017,-12.388707704292411,0
2000-04-30,-0.45,0.41,3.79,0.6299999999999999,27.16421077125951,19.569939805602953,29.368192001907968,18.25,2.3430178069353325,0.21,13.297872340425542,-8.90308442071045,0
